dataset,method,seed,C,tol,sparsity,time_s,n_iter,primal_obj,accuracy,precision,recall,f1,auc
synth_sp0.99,DCD_L1_perm,142,0.001,1,0.99,0.3760061264038086,18,23.40918046145289,0.5664666666666667,0.5706385780118499,0.5720696937697993,0.5713532397337024,0.6037880974231239
synth_sp0.99,LinearSVC_L1,142,0.001,1,0.99,0.330066442489624,20,,0.5659333333333333,0.5703341698586712,0.5699577613516368,0.5701459034792368,0.6039126079861996
synth_sp0.99,LinearSVC_L2,142,0.001,1,0.99,0.4753742218017578,26,,0.5702666666666667,0.5743225466982373,0.5762935586061246,0.5753063644748979,0.6214061020736992
synth_sp0.99,SVC_linear,142,0.001,1,0.99,267.9131512641907,5000,,0.5484666666666667,0.5535404720629418,0.5479144667370645,0.5507131011608624,0.5762536256167389
synth_sp0.99,DCD_L1_perm,242,0.001,1,0.99,0.35486602783203125,17,23.422552664808507,0.5646666666666667,0.5695628997867804,0.564298917348825,0.5669186894813636,0.6076392610238821
synth_sp0.99,LinearSVC_L1,242,0.001,1,0.99,0.28693389892578125,19,,0.5634666666666667,0.5683271177410761,0.56337470293108,0.5658400742607081,0.6078079885608063
synth_sp0.99,LinearSVC_L2,242,0.001,1,0.99,0.5012764930725098,26,,0.5741333333333334,0.5791510945008008,0.572880908370742,0.5759989380061065,0.6261443514038807
synth_sp0.99,SVC_linear,242,0.001,1,0.99,Timeout >500s
synth_sp0.5,DCD_L2_perm,42,0.001,1,0.5,10.813242435455322,15,5.514505816991775,0.9217333333333333,0.9197572488199596,0.9217461819164752,0.9207506412852707,0.9815522278093489
synth_sp0.5,DCD_L2_perm,142,0.001,1,0.5,4.699446678161621,15,5.51056539744115,0.9230666666666667,0.9221267454350162,0.9228701961838216,0.9224983210208193,0.9821726049536545
synth_sp0.5,DCD_L2_perm,242,0.001,1,0.5,4.795290231704712,15,5.5504456974271745,0.9227333333333333,0.9205771305285868,0.9229417331350548,0.9217579153446297,0.9823450079678139
synth_sp0.6,DCD_L2_perm,42,0.001,1,0.6,4.560908794403076,15,5.693340777814095,0.9268666666666666,0.9290254237288136,0.925960142536624,0.9274902505122612,0.9841366568220142
synth_sp0.6,DCD_L2_perm,142,0.001,1,0.6,3.9455149173736572,15,5.6968161942522215,0.9262,0.9237116190991479,0.9263429191535539,0.9250253979004402,0.9839570871629526
synth_sp0.6,DCD_L2_perm,242,0.001,1,0.6,3.4525578022003174,15,5.671080161183352,0.9274666666666667,0.9262616695981599,0.926512383272432,0.9263870094722598,0.9825018205321027
