dataset,method,seed,C,tol,fraction,time_s,n_iter,primal_obj,accuracy,precision,recall,f1,auc
SUSY_30pct,DCD_L2_perm,42,0.001,1,0.3,15.175451040267944,14,655.8537904969122,0.7849111111111111,0.8308076370753225,0.6656633378806783,0.739123169226291,0.8526096190501558
SUSY_30pct,DCD_L2_perm,142,0.001,1,0.3,16.14718770980835,15,655.5849662063813,0.7848666666666667,0.830564683709467,0.6666230315724149,0.7396180742334588,0.8526744844320082
SUSY_30pct,DCD_L2_perm,242,0.001,1,0.3,14.847481727600098,13,655.7402303938313,0.7846666666666666,0.8313831401347332,0.6646498854947017,0.7387252813624035,0.8529632480879764
SUSY_40pct,DCD_L2_perm,42,0.001,1,0.4,31.022202730178833,20,874.6987939166595,0.7848133333333334,0.8311827566152952,0.6654880391129736,0.7391634612276562,0.8529074223064914
SUSY_40pct,DCD_L2_perm,142,0.001,1,0.4,29.129706859588623,20,874.1575876991318,0.78461,0.8315808112451987,0.6653117712442517,0.7392120302208446,0.8525311750676359
SUSY_40pct,DCD_L2_perm,242,0.001,1,0.4,29.690916061401367,20,874.3081835737572,0.7848566666666666,0.8320529644412853,0.6644289685485162,0.7388530135301353,0.8526932538821772
SUSY_50pct,DCD_L2_perm,42,0.001,1,0.5,39.066871881484985,20,1091.9298622884876,0.7837906666666666,0.8308390386600476,0.6630011468090184,0.7374915212531223,0.8517994265296427
SUSY_50pct,DCD_L2_perm,142,0.001,1,0.5,45.15167450904846,20,1092.3795399856715,0.7845253333333333,0.8302895031480377,0.665274403919307,0.7386783696464204,0.8518867870086606
SUSY_50pct,DCD_L2_perm,242,0.001,1,0.5,40.020867109298706,20,1093.2773761235853,0.784556,0.8322596675594597,0.6631852645555025,0.7381647240312615,0.8526340571879747
SUSY_60pct,DCD_L2_perm,42,0.001,1,0.6,44.89013433456421,20,1309.2640858402465,0.7844588888888889,0.8311768760570993,0.664194858704145,0.7383627694942915,0.8522646167306203
SUSY_60pct,DCD_L2_perm,142,0.001,1,0.6,46.04095983505249,20,1308.5417080551044,0.7841433333333333,0.8302315562082064,0.6642465111650002,0.738021422609038,0.8518400028806978
SUSY_60pct,DCD_L2_perm,242,0.001,1,0.6,41.23987174034119,20,1309.9875434148728,0.7847111111111111,0.8313821316118993,0.6642287556941248,0.7384646948934745,0.8526151454467796
SUSY_70pct,DCD_L2_perm,42,0.001,1,0.7,59.45702838897705,20,1526.713150155602,0.7839,0.8304533415283967,0.663381002508977,0.7375743802369759,0.8520703816329489
SUSY_70pct,DCD_L2_perm,142,0.001,1,0.7,45.5893669128418,20,1526.8146919248538,0.78458,0.8304372379656112,0.6646019652846914,0.7383220710168015,0.8521048891353524
SUSY_70pct,DCD_L2_perm,242,0.001,1,0.7,54.31499099731445,20,1528.3493000559997,0.7848123809523809,0.8314316149717021,0.6644319747572088,0.7386097951770293,0.8528765063978164
SUSY_80pct,DCD_L2_perm,42,0.001,1,0.8,67.45531010627747,21,1744.792119407714,0.7841641666666667,0.8303526084094931,0.663986611256597,0.7379087791446616,0.8523566837348986
