dataset,method,seed,C,tol,time_s,n_iter,primal_obj,accuracy,precision,recall,f1,auc
cod_rna,SVC_linear,42,100.0,1,11.865084171295166,5000.0,,0.8873722213207853,0.5178623293639268,0.903242147922999,0.6582979508953295,0.957767345179837
cod_rna,DCD_L2_perm,142,100.0,1,119.10015678405762,5000.0,5007593.416287758,0.8721199091351615,0.4785260695187165,0.9889483681574858,0.6449687482403288,0.982968548813318
cod_rna,LinearSVC_L1,142,100.0,1,82.94879484176636,5000.0,,0.9552977446049002,0.7596641088750543,0.9060611293386288,0.826429358954166,0.9838812504057056
cod_rna,LinearSVC_L2,142,100.0,1,79.74535012245178,5000.0,,0.9504502677267564,0.7286260584539743,0.921257123122086,0.8136963318843895,0.9833802856273492
cod_rna,SVC_linear,142,100.0,1,11.800899028778076,5000.0,,0.7030261236410839,0.2624912789137552,0.8445864272146434,0.4005076973468719,0.8614023010361742
cod_rna,DCD_L2_perm,242,100.0,1,118.53554630279541,5000.0,3053236.323560655,0.9158688950186598,0.932748538011696,0.3230925050641458,0.4799398194583751,0.9807416825665438
cod_rna,LinearSVC_L1,242,100.0,1,85.98847818374634,5000.0,,0.9440207691059548,0.9119791666666668,0.5911546252532073,0.717328963539533,0.9844162546551696
cod_rna,LinearSVC_L2,242,100.0,1,86.33859634399414,5000.0,,0.9229879928606198,0.9300444803881924,0.388251181634031,0.5478146957246636,0.983689012336686
cod_rna,SVC_linear,242,100.0,1,10.944718360900879,5000.0,,0.4733895829952945,0.172484800941361,0.8907832545577312,0.2890081603592749,0.7814945997231257
news20,LinearSVC_L1,42,0.001,1,83.26026320457458,2533.0,,0.9671611935322554,0.9575757575757576,0.979125896934116,0.9682309304950816,0.994418786247948
news20,LinearSVC_L2,42,0.001,1,170.78676390647888,5000.0,,0.9673278879813302,0.9575892857142856,0.9794520547945206,0.9683972911963884,0.9945276538051712
news20,SVC_linear,42,0.001,1,364.8773980140686,5000.0,,0.9223203867311218,0.8765932792584009,0.9869536855838226,0.9285056765879104,0.9835242463284724
news20,LinearSVC_L1,142,0.001,1,91.85281133651733,2880.0,,0.9668278046341056,0.9530440414507771,0.981981981981982,0.9672966310599836,0.9947630842034572
news20,LinearSVC_L2,142,0.001,1,172.57862424850464,4918.0,,0.9663277212868812,0.952411783748786,0.9816483149816484,0.9668090699967138,0.9947200698366588
a9a,DCD_L1_perm,42,0.001,1,0.0506591796875,9,12.357671634042715,0.8469937896676448,0.7271386430678466,0.5676453655728267,0.6375687035240867,0.8989072492459673
a9a,DCD_L1_perm,142,0.001,1,0.07086563110351562,7,12.350857874702657,0.8487681703405446,0.740873299928418,0.5811341942728804,0.6513530522341096,0.9020050350651805
